Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
ROCKAR 2016 LIMITED,No,No,No,No,No,YO43 4RW,9969640,62012,31/12/2020,Active,89,11/10/2021,Secure,0.9,"147,001",89,31/12/2019,Secure,,14,-188.41,53,-79.67,-22.13,-6.1,10.43,1,-5.53,-2.8,13.06,15.22,-9.7,8.59,21.7,16.82,43.43,1.05,0.47,0.73,11.75,13.31,199.01,"-31,735","16,843",-1,0,,,-1,,,,3,1,9.25,2017,N
BPL (HOLDINGS) LIMITED,No,No,No,No,No,EC3M 7AF,2147473,66220,31/03/2021,Active,92,22/12/2021,Secure,0.9,"1,848,000",99,31/03/2020,Secure,BPL (HOLDINGS) LIMITED,29,133.25,49,105.55,62.55,37.54,,,37.92,39.15,2.81,78.68,,,15.73,23.2,31.7,2.4,2.4,3.81,46.94,88.48,26.24,"233,143","174,969",21,0,-4,,0,,-12,,-5,1,,2017,N
SPORTFIVE UK LTD,No,No,No,No,No,SK9 5AP,3599986,73110,31/12/2020,Active,92,06/04/2021,Secure,0.9,"761,284",95,31/12/2019,Secure,"HIG CAPITAL PARTNERS, LP",37,30.58,31,30.58,13.94,16.48,31.74,2,15.87,18.83,1.86,9.23,,,6,60.84,51.67,1.67,1.67,,45.58,83.74,3.04,"106,952",,,,,,,,,,,,,2017,N
BLOK 'N' MESH UK LIMITED,No,No,No,No,No,E11 1GA,4556100,77390,31/08/2020,Active,95,17/12/2021,Secure,0.9,"860,111",88,31/08/2019,Secure,LAURENCE PAYNE,13,23.18,41,23.17,12.48,3.9,30.6,1,4.14,5.5,5.94,13.9,727.13,32.47,5.31,68.75,13.41,1.67,1.46,,53.85,,49.04,"9,967","42,997",,,,,,,,,,,,2017,N
MILLGRAIN LIMITED,No,No,No,No,No,L22 0LG,1447646,46900,31/12/2020,Active,41,13/10/2021,Normal,4.6,"36,595",35,31/12/2019,Caution,MR M G M GROVES,3,5.66,58,5.55,2.69,0.16,1.21,1,0.15,0.18,35.68,122.04,,,45.22,8.07,4.81,1.66,1.66,52.73,47.48,90.39,1.9,"14,963",,,,,,,,,,,,,2017,N
SPARK44 LIMITED,No,No,No,No,No,EC1Y 8AF,7535381,73110,31/03/2021,Active,92,27/10/2021,Secure,0.9,"371,001",93,31/03/2020,Secure,TATA MOTORS LIMITED,22,54.48,79,54.36,21.72,6.14,51.09,1,6.14,8.95,8.85,20.43,,,10.5,34.75,14.16,1.38,1.38,465.64,39.87,66.29,2,"11,736","21,542",,,,,,,,,,,,2017,N
NEAL'S YARD HOLDINGS LIMITED,No,No,No,No,No,WC2H 9DP,5471018,20420,30/09/2020,Active,30,11/10/2021,Caution,11.2,"50,536",92,30/03/2019,Secure,NEAL'S YARD HOLDINGS LIMITED,32,8.84,49,7.24,2.93,1.9,54.98,1,2.29,6.87,3.82,2.6,5.79,6.43,19.71,18.52,28.82,0.68,0.28,4.55,33.15,49.6,107.71,"1,923","21,765",1,0,0,,-3,,,,1,-2,13.72,2017,N
VOLKERSERVICES LIMITED,No,No,No,No,No,EN11 9BX,3998767,70100,31/12/2020,Active,89,29/11/2021,Secure,0.9,"1,216,000",77,31/12/2019,Stable,WESSELS FAMILY,29,24.98,40,23.26,4.14,3.07,,,3.41,6.39,7.58,4.06,9.19,,,0.3,5.66,0.81,0.81,13.48,16.59,19.89,194.15,"5,012","20,061",3,0,,-1,,,,,,2,,2017,N
UPHALL CAMBRIDGE LIMITED,No,No,No,No,No,SG8 5QP,9172590,64209,31/12/2020,Active,92,27/08/2021,Secure,0.9,"1,860,000",97,31/12/2019,Secure,UPHALL CAMBRIDGE LIMITED,7,36.45,13,31.67,23.21,13.31,45.22,1,14.07,14.7,2.38,10.87,78.04,4.76,5.52,66.17,8.46,3.14,1.77,6.62,63.67,,30,"33,019","90,588",1,0,0,,0,,-1,,1,0,10.4,2017,N
SOURCE BIOSCIENCE UK LIMITED,No,No,No,No,No,NG8 6PX,4078501,70100,31/12/2020,Active,89,23/09/2021,Secure,0.9,"1,390,000",27,31/12/2019,Caution,SOURCE BIOSCIENCE LIMITED,18,,15,49.09,-33.7,-39.7,39.6,1,-24.87,6.96,,2.18,-1.68,16.11,4.79,76.14,56.28,0.36,0.33,,-73.22,,,"-54,727",,,,,,,,,,,,47.91,2017,N
SQUAREPOINT UK HOLDCO 2 LIMITED,No,No,No,No,No,EC2Y 9AW,9002478,66300,31/12/2020,Active,86,01/07/2021,Secure,0.9,"1,777,000",28,31/12/2019,Caution,SQUAREPOINT HOLDINGS LP,21,13.66,4,13.66,9.83,47.07,,,47.07,,0.29,0.66,,,,,,2.44,2.44,,71.95,,24.32,,,,,,,,,,,,,,2017,N
GRAVITAS RECRUITMENT GROUP LIMITED,No,No,No,No,No,EC3A 7BA,6959984,70229,30/11/2020,Active,89,14/10/2021,Secure,0.9,"525,828",81,30/11/2019,Secure,PROJECT JUPITER TOPCO LIMITED,7,37.58,28,37.07,10.11,2.49,22.48,1,2.49,2.92,14.9,136.01,,,8.49,42.98,42.77,1.33,1.33,72.52,26.91,36.82,1.46,"8,724","23,215",1,,,,0,,0,,,1,,2017,N
WARD SECURITY GROUP HOLDINGS LIMITED,No,No,No,No,No,ME4 4TZ,6276217,84240,31/12/2020,Active,93,04/10/2021,Secure,0.9,"372,194",86,31/12/2019,Secure,MR KEVIN MICHAEL WARD,8,157.72,32,157.72,11.49,2.96,11.54,1,3.27,3.53,53.35,110.29,10.55,,4.79,76.25,13.58,1.04,1.04,,7.29,7.86,307.52,"1,098",696,0,0,0,,0,,0,,0,-1,,2017,N
GREENHILL & CO. EUROPE HOLDINGS LIMITED,No,No,No,No,No,W1J 6ER,3688817,64205,31/12/2020,Active,86,13/01/2022,Secure,0.9,"2,326,000",31,31/12/2019,Caution,"GREENHILL & CO., INC.",29,96.3,13,76.14,20.57,46.73,,,42.81,,1.63,0.58,,,,,,0.33,0.33,3.78,21.36,27.16,346.88,,,,,,,,,,,,,,2017,N
PELICAN ENGINEERING CO. LIMITED,No,No,No,No,No,WF10 5UB,212209,45200,31/03/2021,Active,99,15/10/2021,Secure,0.9,"937,156",95,31/03/2020,Secure,MR RICHARD BASIL CRUMP,21,17.12,38,15.83,8.14,4.57,20.87,1,4.88,5.79,3.46,7.59,15.25,3.66,11.72,31.16,30.92,1.58,0.57,12.2,47.52,90.54,68.71,"12,768","74,559",2,0,0,,0,,0,,-1,0,27.72,2017,N
COXCO HOLDINGS LIMITED,No,No,No,No,No,PL12 6LU,8852752,64209,31/12/2020,Active,97,11/11/2021,Secure,0.9,"883,970",92,31/12/2019,Secure,MR WAYNE COLIN COX,15,18.27,34,18.25,16.55,7,20.95,2,7.01,8.66,2.61,8.72,748.2,4.72,21.12,17.28,8.05,7.87,2.46,761.47,90.62,,0.13,"55,873",,1,0,-1,,0,,-1,,,0,,2017,N
MCDERMOTT WILL & EMERY UK LLP,No,No,No,No,No,EC2N 4AY,OC311909,69102,31/12/2020,Active,97,16/08/2021,Secure,0.9,"2,853,000",93,31/12/2019,Secure,,17,,32,22.51,8.61,4.64,,,43.82,45.93,4.85,16.24,,,9.41,38.8,7.8,1.43,1.43,-0.11,-4.73,,,"22,358",,12,0,,,-1,,,,-12,0,3.08,2017,N
GH NEWCO 1 LIMITED,No,No,No,No,No,HG3 1GY,7936868,86102,31/05/2021,Active,89,08/03/2022,Secure,0.9,"147,644",86,31/05/2020,Secure,GH NEWCO 1 LIMITED,14,5.15,23,5,3.39,2.07,,,2.1,5.01,2.42,3.02,8.89,122.39,7.73,47.23,46.05,1.42,1.38,34.02,65.92,,3.17,"1,195","23,215",1,0,,,0,,-1,,0,0,248.79,2017,N
"CAPSTONE INVESTMENT ADVISORS (UK), LLP",No,No,No,No,No,W1S 3BE,OC330201,66190,31/12/2020,Active,86,11/08/2021,Secure,0.9,"4,535,000",77,31/12/2019,Stable,,12,69.97,11,43.34,38.41,42.93,93.76,2,52.21,53.85,1.01,10.53,,,,,1.42,8.04,8.04,1.63,54.9,,61.43,"178,962",,5,,,,,,,,-16,-11,2.96,2017,N
STONEHAGE FLEMING INVESTMENT MANAGEMENT LIMITED,No,No,No,No,No,SW1Y 4HG,4027720,64999,31/03/2021,Active,92,23/12/2021,Secure,0.9,"1,642,000",92,31/03/2020,Secure,STONEHAGE FLEMING FINANCIAL SERVICES HOLDINGS LIMITED,22,30.64,34,30.64,20.42,12.84,,,12.81,,2.39,11.86,,,23.32,15.66,0.91,2.6,2.6,,66.65,,33.56,,,3,,,,,,,,,3,,2017,N
JAMES HAY PARTNERSHIP MANAGEMENT LIMITED,No,No,No,No,No,SP2 7BF,2538532,70221,31/12/2020,Active,40,13/10/2021,Caution,4.2,"47,674",47,31/12/2019,Normal,SAINTMICHELCO LIMITED,7,4.1,45,4.1,1.63,0.26,,,0.26,2.21,15.57,24.15,,,323.98,1.13,8.53,1.24,1.24,,39.83,66.18,3.32,177,"4,318",,,,,,,,,,,,2017,N
THE AD CONSTRUCTION GROUP LIMITED,No,No,No,No,No,DA14 5DT,4405362,43390,30/06/2021,Active,99,07/02/2022,Secure,0.9,"582,935",97,30/06/2020,Secure,MR STEVEN WILLIAM DOYLE,15,16.82,32,16.73,10.68,4.93,25.45,1,4.96,5.3,3.39,62.05,173.51,,4.03,90.5,26.45,2.67,2.67,193.81,63.53,,0.91,"14,428","85,788",2,0,0,,0,,,,,1,,2017,N
ELMDENE GROUP LIMITED,No,No,No,No,No,CV2 5DB,6890168,46420,31/12/2020,Active,99,11/10/2021,Secure,0.9,"1,232,000",92,31/12/2019,Secure,ELMDENE GROUP LIMITED,21,39.91,31,20.11,16.2,11.07,27.64,2,11.05,15.71,1.82,3.05,53.64,5.92,9.1,40.09,23.68,2.68,1.41,1.02,40.59,68.32,114.97,"24,827","62,209",-2,0,1,,-2,,,,3,-2,6.15,2017,N
FAMILY EQUITY PLAN LIMITED,No,No,No,No,No,BN1 2RL,2208249,64999,31/12/2020,Active,97,01/09/2021,Secure,0.9,"1,120,000",89,31/12/2019,Secure,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,21,17.55,46,17.55,14.12,6.34,76.55,1,6.33,,2.77,8.95,,,8.45,43.19,,3.85,3.85,,80.47,,6.27,,,,,,,,,,,,,,2017,N
CONSULTA LIMITED,No,No,No,No,No,W1S 4PX,2203991,66300,31/12/2020,Active,86,17/12/2021,Secure,0.9,"609,626",88,31/12/2019,Secure,HALSEY INVESTMENTS LIMITED,16,265.41,30,262.39,144.03,78.62,,,78.52,79.84,3.34,98.93,,,3.7,98.62,0.5,2.18,2.18,87.03,54.27,,1.15,"1,941,722",,19,0,-1,,0,,-17,,,2,,2017,N
SARASIN INVESTMENT FUNDS LIMITED,No,No,No,No,No,EC4M 8BU,2190813,64304,31/12/2020,Active,97,23/09/2021,Secure,0.9,"1,497,000",99,31/12/2019,Secure,MR JOSEPH YACOUB SAFRA,18,71.61,43,71.61,42.28,17.25,27.8,3,17.19,,4.15,,,,,,2.17,2.44,2.44,,59.04,,3.52,,,6,0,,,0,,-5,,,1,,2017,N
EFFICIO LIMITED,No,No,No,No,No,SW1Y 4NE,4010379,70229,30/06/2020,Active,95,19/05/2021,Secure,0.9,"1,196,000",99,30/06/2019,Secure,MANAGEMENT BUYOUT TEAM OF EFFICIO LIMITED,52,38.1,38,38.09,14.41,19.63,27.36,1,19.62,20.99,1.94,10.5,,,6.82,53.55,,1.5,1.5,,37.83,60.86,120.05,"33,961","89,145",,,,,,,,,,,,2017,N
THE INSIGHTS GROUP LIMITED,No,No,No,No,No,DD2 1EG,SC166543,70229,31/03/2021,Active,93,20/12/2021,Secure,0.9,"1,384,000",99,31/03/2020,Secure,THE INSIGHTS GROUP LIMITED,38,31.1,49,30.4,20.03,15.51,75.45,1,15.51,18.91,1.96,3.91,323.05,107.37,4.33,84.24,12.48,1.96,1.93,43.56,64.41,,2.31,"22,954","73,800",10,0,,,-2,,-3,,-1,5,,2017,N
ZIPCAR (UK) LIMITED,No,No,No,No,No,RG12 2EW,4525217,77110,31/12/2020,Active,21,09/03/2022,Caution,11.2,,23,31/12/2019,Caution,"AVIS BUDGET GROUP, INC.",7,,30,12.71,-45.47,-11.23,42.42,1,-8.87,-6.06,,27.13,-3.46,,18.84,19.37,,0.19,0.19,-8.99,,,,"-23,738",,,,,,,,,,,,,2017,N
MCCUTCHEON NORVEIL CONSULTANCY LIMITED,No,No,No,No,No,EC4R 1AG,3443010,73110,31/12/2020,Active,99,13/09/2021,Secure,0.9,"2,340,000",90,31/12/2019,Secure,MNC GROUP TRUST LIMITED,19,194.84,40,194.84,40.63,19.02,20.03,20,19.01,19.06,10.24,313.93,,,2.44,149.88,52.28,1.25,1.25,,20.85,26.35,,"421,061","216,102",,,,,,,,,,,,2017,N
OSBORNE PROPERTY SERVICES LIMITED,No,No,No,No,No,RH2 9PY,5756266,68320,30/09/2020,Active,77,08/11/2021,Stable,2.2,"82,945",93,30/03/2019,Secure,OSBORNE GROUP HOLDINGS LTD,15,27.93,47,25.75,9.47,3.08,11.01,1,3.08,3.52,8.35,214.14,,,3.8,95.99,21.25,1.56,1.56,11.82,33.93,51.34,11.83,"6,296","22,542",,,,,,,,,,,,2017,N
BLUE WATER ALLIANCE LIMITED,No,No,No,No,No,E14 9XL,4891570,70229,31/12/2020,Active,34,20/10/2021,Caution,11.2,"55,523",34,31/12/2019,Caution,BLUE WATER ALLIANCE LIMITED,10,-38,50,-31.36,-7.01,-1.42,18.14,1,-1.26,0.02,22.1,20.53,-7.34,,13.25,27.55,28.1,0.98,0.98,4.72,18.45,22.63,89.02,"-7,220","19,000",0,0,0,,0,,,,0,0,128.87,2017,N
MOYNE ROBERTS LIMITED,No,No,No,No,No,PR2 5BB,2548618,28290,31/12/2020,Active,99,11/10/2021,Secure,0.9,"1,340,000",99,31/12/2019,Secure,MOYNE ROBERTS LIMITED,23,29.15,37,25.31,21.44,13.4,69.12,1,13.47,18.76,1.89,5.39,149.9,8.12,5.9,61.9,11.55,4.6,3.31,6.6,73.54,,16.45,"14,346","49,212",5,0,-1,,-2,,-1,,0,1,11.43,2017,N
M R STEPHENSON LIMITED,No,No,No,No,No,RH12 1SS,4619660,41201,30/09/2020,Active,99,07/07/2021,Secure,0.9,"790,885",99,30/09/2019,Secure,M R STEPHENSON LIMITED,32,25.25,57,27.01,10.66,6.07,16.32,2,6.16,6.92,4.45,8.94,47.51,16.35,5.44,67.09,44.35,1.33,1.15,,42.19,72.99,6.59,"215,098",,1,0,0,,0,,,,0,0,97.61,2017,N
CHARLES PUGH (HOLDINGS) LIMITED,No,No,No,No,No,NG16 6NT,2630838,45310,31/07/2020,Active,99,12/04/2021,Secure,0.9,"1,231,000",39,31/07/2019,Caution,MR CHARLES T PUGH,22,37.26,37,34.66,21.17,12.37,37.18,1,12.39,14.84,2.8,6.45,315.27,11.57,5.09,71.72,33,1.89,1.51,13.28,56.82,,7.53,"13,880","37,248",5,0,,,-3,,-2,,,0,,2017,N
HAVWOODS GLOBAL HOLDINGS LIMITED,No,No,No,No,No,LA5 9FD,9154530,64209,31/12/2020,Active,92,31/08/2021,Secure,0.9,"833,106",89,31/12/2019,Secure,HAVWOODS GLOBAL HOLDINGS LIMITED,29,21.67,50,18.83,12.99,7.43,33.26,1,7.19,9.56,2.54,5.39,17.42,7.16,10.69,34.15,17.18,2.18,1.39,6.64,59.94,,34.52,"31,348","144,660",4,0,-1,,-4,,0,,0,0,19.74,2017,N
HALSION HOLDINGS LIMITED,No,No,No,No,No,CT4 5PP,4246093,43210,31/03/2021,Active,92,21/03/2022,Secure,0.9,"1,015,000",99,31/03/2020,Secure,MR TREVOR ALFRED WELLS,24,123.37,49,122.77,46.1,22.19,,,22.05,22.35,5.53,74.86,,288.34,4.54,80.37,92.09,1.56,1.55,205.13,37.37,59.67,0.49,"149,490","121,170",9,0,,,1,,-4,,,5,,2017,N
CORNWALL HOUSING LIMITED,No,No,No,No,No,PL31 2FR,4662007,88990,31/03/2021,Active,86,18/01/2022,Secure,0.9,"42,879",64,31/03/2020,Stable,,14,9.37,43,7.54,4.83,1.55,99.76,1,0.51,0.86,4.85,11.85,8.36,87.92,,,3.58,2.05,1.95,4.14,51.62,,41.52,"1,701","18,165",-2,0,0,,0,,,,0,-2,8.03,2017,N
W.H.PALMER & CO.(INDUSTRIES)LIMITED,No,No,No,No,No,CM23 2ER,727228,20590,31/12/2020,Active,99,02/07/2021,Secure,0.9,"984,376",99,31/12/2019,Secure,W.H.PALMER & CO.(INDUSTRIES)LIMITED,25,16.94,33,16.34,13.23,10.31,29.52,2,10.27,11.35,1.58,4.82,,14.7,6.55,55.77,33.92,3.85,3.39,27.42,78.07,,3.65,"59,932",,3,0,,,-1,,0,,,2,,2017,N
"CERBERUS EUROPEAN CAPITAL ADVISORS, LLP",No,No,No,No,No,W1S 3PB,OC315176,66190,31/12/2020,Active,89,06/09/2021,Secure,0.9,"1,509,000",93,31/12/2019,Secure,MR STEPHEN ANDREW FEINBERG,42,72.76,49,62.85,24.11,20.65,,,20.64,,3.04,,26.12,,,,1.48,1.62,1.62,6.35,33.13,49.55,93.74,"424,359",,21,0,,,,,,,-22,-1,19.16,2017,N
WAVERTON INVESTMENT MANAGEMENT LIMITED,No,No,No,No,No,SW1Y 6AH,2042285,64999,31/12/2020,Active,99,14/10/2021,Secure,0.9,"1,944,000",95,30/09/2019,Secure,SOMERS LIMITED,30,52.04,40,51.53,32.52,24.7,,,24.53,25.47,2.09,15.16,,,41.42,8.81,11.59,2.48,2.48,100.05,62.49,,5.13,"82,843","159,179",6,0,,0,,,-6,,,1,,2017,N
DELOITTE ERDC LIMITED,No,No,No,No,No,EC4A 3TR,10188050,70229,31/12/2020,Active,99,17/12/2021,Secure,0.9,"1,137,000",92,31/12/2019,Secure,DELOITTE TOUCHE TOHMATSU SERVICES INC,11,-29.17,10,-29.17,-18.89,-20.32,,,-20.17,-19.51,1.44,14.06,,,2.25,162.09,12.66,2.65,2.65,,64.74,,19.16,"-12,887","44,174",,,,,,,,,,,,2017,N
HIGHCLERE INTERNATIONAL INVESTORS LLP,No,No,No,No,No,W1U 3PP,OC355922,66190,31/03/2021,Active,93,22/12/2021,Secure,0.9,"1,466,000",89,31/03/2020,Secure,HIGHCLERE INVESTMENT MANAGEMENT LIMITED,18,7.78,48,1.44,1.17,0.43,,,79.84,80.03,3.32,83.79,,,10.88,33.55,3.13,5.03,5.03,0.23,14.99,17.63,439.59,"14,866","191,113",2,0,,,,,,,0,2,1.52,2017,N
HPS INVESTMENT PARTNERS (UK) LLP,No,No,No,No,No,W1J 8AJ,OC333558,66190,31/12/2020,Active,95,30/09/2021,Secure,0.9,"803,771",95,31/12/2019,Secure,,37,38.03,35,37.02,12.1,12.55,,,12.55,13.09,2.95,34.77,,,,,,1.44,1.44,36.69,31.82,46.66,2.73,"116,963",,-5,,,,0,,,,-2,-7,,2017,N
ENRC MANAGEMENT (UK) LIMITED,No,No,No,No,No,EC4A 4AB,5965190,70100,31/12/2020,Active,88,11/10/2021,Secure,0.9,"341,529",29,31/12/2019,Caution,EURASIAN RESOURCES GROUP,15,2.8,16,2.8,2.04,1.86,,,-3.46,,1.5,,,,,,14.61,3.68,3.68,,72.85,,0.6,,,,,,,,,,,,,,2017,N
PURICO SPECIALITY PAPER COMPANY LIMITED,No,No,No,No,No,NG3 1DE,7477792,70100,31/12/2020,Active,89,04/05/2021,Secure,0.9,"374,932",86,31/12/2019,Secure,CLARY LIMITED,31,-9.46,27,-8.99,-2.41,-2.8,26.86,1,-1.53,4.89,3.21,1.38,-0.8,5.76,8.05,45.34,37.43,0.51,0.31,19.03,25.46,34.16,207.02,"-6,688","70,670",2,0,,,0,,0,,0,1,,2017,N
C J BOURNE (ASSET MANAGEMENT) LIMITED,No,No,No,No,No,CM16 4LW,3687861,52290,30/06/2020,Active,97,08/10/2021,Secure,0.9,"728,088",97,30/06/2019,Secure,C J BOURNE (ASSET MANAGEMENT) LIMITED,27,14.77,47,11.44,7.25,4.09,39.35,1,2.3,3.98,2.79,4.89,14.26,746.22,6.01,60.72,45.04,1.74,1.74,3.44,49.12,96.53,29.27,"4,530","30,678",1,0,0,,0,,-1,,0,0,13.92,2017,N
KLT GROUP OF COMPANIES LIMITED,No,No,No,No,No,EC2Y 5AU,5541639,41201,31/03/2021,Active,93,29/12/2021,Secure,0.9,"577,752",81,31/03/2020,Secure,MR ROBERT JOHN TAYLOR,10,4.89,31,3.09,1.35,0.43,18.12,1,0.89,2.92,7.21,6.68,1.77,,873.15,0.42,20,0.94,0.94,1.71,27.62,38.15,125.43,"3,197","65,373",1,0,,,-1,,-1,,1,-1,6.82,2017,N
MINSTERGATE HOLDINGS LIMITED,No,No,No,No,No,HU13 0AB,8019778,45111,31/12/2020,Active,92,13/05/2021,Secure,0.9,"285,443",89,31/12/2019,Secure,MINSTERGATE HOLDINGS LIMITED,17,48.44,52,7.26,2.58,0.85,9.82,1,1,3.62,8.54,6.29,6.66,7.92,37.17,9.82,46.19,0.8,0.21,0.18,5.32,5.62,790.79,"2,990","6,173",6,0,0,,-6,,0,,0,0,3.32,2017,N
CHAMPION LIMITED,No,No,No,No,No,M28 3NJ,4726838,69201,30/06/2020,Active,99,21/04/2021,Secure,0.9,"412,902",89,30/06/2019,Secure,CHAMPION LIMITED,12,3.18,38,3.32,1.34,0.41,,,0.63,0.72,8.04,6.67,2.89,,34.88,10.46,3.66,0.86,0.86,,42.3,73.32,20.49,226,"7,105",1,0,0,0,,,,,0,1,43.02,2017,N
WINGATE LIMITED,No,No,No,No,No,RG24 8QD,5168477,43210,30/09/2020,Active,99,04/10/2021,Secure,0.9,"1,084,000",97,30/09/2019,Secure,MR PAUL FREWIN,20,24.82,48,24.74,14.17,5.81,24.25,1,5.79,6.91,4.26,27.71,805.38,255.52,5.01,72.89,45.65,2.13,2.11,305.09,57.09,,0.33,"11,611","46,776",3,0,-1,,-1,,-1,,,0,,2017,N
LOUGHTON 2011 LIMITED,No,No,No,No,No,IG10 3FL,7641819,43330,31/12/2020,Active,89,22/06/2021,Secure,0.9,"199,107",95,31/12/2019,Secure,LOUGHTON TRUSTEE LIMITED,10,65.79,37,65.67,23.13,6.51,25.82,1,6.74,7.55,10.09,30.93,29.3,,5.51,66.18,29.34,1.37,1.36,546.57,35.16,54.23,22.57,"30,509","46,372",4,0,,,0,,-1,,,3,,2017,N
WINCKWORTH SHERWOOD LLP,No,No,No,No,No,SE1 9BB,OC334359,69102,31/03/2021,Active,97,09/09/2021,Secure,0.9,"2,922,000",89,31/03/2020,Secure,WINCKWORTH SHERWOOD LLP,25,7.45,47,1.66,1.32,0.71,65.74,3,43.83,44.29,2.35,114.65,,,3.31,110.29,6.59,4.79,4.79,0.29,17.68,21.47,349.39,"1,017","13,646",0,2,,,0,,,,0,2,1.85,2017,N
MATHYS & SQUIRE LLP,No,No,No,No,No,SE1 9SG,OC335375,69102,31/03/2021,Active,89,10/01/2022,Secure,0.9,"1,394,000",89,31/03/2020,Secure,MATHYS & SQUIRE LLP,30,100,42,58.72,37.03,26.39,63.85,2,26.5,27.56,2.22,10.33,236.17,,4,91.22,23.13,2.34,2.34,1.42,37.03,58.81,77.51,"76,222","76,222",13,0,0,,-2,,,,-10,1,4.5,2017,N
CVC CREDIT PARTNERS INVESTMENT MANAGEMENT LIMITED,No,No,No,No,No,SW1Y 4LB,7441828,66300,31/12/2020,Active,86,16/12/2021,Secure,0.9,"3,644,000",92,31/12/2019,Secure,CVC CREDIT PARTNERS GROUP HOLDING FDN,21,26.81,24,23.65,12.41,10.67,10.66,,10.66,11.11,2.22,146.85,,,,,,2.09,2.09,7.48,46.3,86.21,15.82,"76,398",,4,0,,,0,,,,,4,,2017,N
PILOT GROUP LIMITED,No,No,No,No,No,M3 1HJ,7330652,46520,31/05/2020,Active,85,04/06/2021,Secure,0.9,"188,269",89,31/05/2019,Secure,PILOT GROUP LIMITED,15,24.94,26,20.74,15.05,8.73,30.32,1,7.62,7.73,2.38,16.27,,17.96,5.79,63.09,28.53,3.26,2.91,4.94,60.35,,20.24,"47,163","189,108",6,0,-1,,-2,,0,,,3,,2017,N
MADANO PARTNERSHIP LIMITED,No,No,No,No,No,SE1 9HA,7858061,64209,31/12/2020,Active,89,12/04/2021,Secure,0.9,"1,414,000",77,31/12/2019,Stable,RES PUBLICA CONSULTING GROUP INC,2,62.44,5,62.44,32.91,15.64,89.84,1,15.66,16.05,3.99,63.85,,,4.02,90.8,10.55,2.04,2.04,,52.71,,36.44,"27,419","43,911",,,,,,,,,,,,2017,N
PALMER TIMBER HOLDINGS LIMITED,No,No,No,No,No,B64 6PW,9191974,70100,30/09/2020,Active,92,21/10/2021,Secure,0.9,"443,478",89,30/09/2019,Secure,PALMER TIMBER HOLDINGS LIMITED,27,3.66,50,3.21,1.26,0.68,23.99,1,1.15,2.2,4.71,6.73,2.74,4.8,35.18,10.38,53.55,1.19,0.56,7.21,34.31,52.23,72.17,"1,346","36,761",1,0,,,-1,,0,,0,-1,38.95,2017,N
SUMITOMO CHEMICAL (U.K.) PLC,No,No,No,No,No,W6 7NL,2217066,82990,31/03/2021,Active,89,17/12/2021,Secure,0.9,"1,789,000",92,31/03/2020,Secure,SUMITOMO CHEMICAL COMPANY LIMITED,46,10.67,31,10.4,3.07,4.45,13.44,1,3.73,3.97,2.33,66.83,44.47,6.13,4.46,81.75,0.32,1.4,1.24,38.45,28.76,40.37,243.05,"73,662",,,,,,,,,,,,,2017,N
FISHER GERMAN LLP,No,No,No,No,No,LE65 2AB,OC317554,68310,31/03/2021,Active,97,23/12/2021,Secure,0.9,"807,298",92,31/03/2020,Secure,FISHER GERMAN LLP,13,31.16,32,24.47,16.34,6.87,,,21.36,23.95,3.56,12.49,43.64,,3.48,104.93,8.3,2.44,2.44,3.66,52.45,,31.14,"5,479","17,581",8,0,,,-1,,,,-6,1,7.43,2017,N
DOOCEY HOLDINGS LIMITED,No,No,No,No,No,DY4 8NA,3462107,41201,31/07/2020,Active,99,27/01/2022,Secure,0.9,"1,008,000",95,31/07/2019,Secure,DOOCEY HOLDINGS LIMITED,11,55.83,21,46.74,26.57,13.51,28.42,2,13.82,16.53,3.46,10.69,43.27,,8.94,40.84,52.87,1.89,1.89,5.14,47.6,90.84,31.55,"51,897","92,961",3,0,0,,-1,,-1,,-1,0,12.94,2017,N
